=== 10.03.2024 - 10.03.2025 YILLIK RAPOR ===

=== GÜNLÜK ÖZET ===
31.12.2024 => Madde: 35, PDF: 22, HTM: 13
24.09.2024 => Madde: 6, PDF: 2, HTM: 4
24.08.2024 => Madde: 8, PDF: 1, HTM: 7
24.07.2024 => Madde: 7, PDF: 5, HTM: 2
24.06.2024 => Madde: 4, PDF: 0, HTM: 4
24.05.2024 => Madde: 6, PDF: 0, HTM: 6
24.04.2024 => Madde: 4, PDF: 0, HTM: 4
24.03.2024 => Madde: 2, PDF: 0, HTM: 2
24.02.2025 => Madde: 10, PDF: 0, HTM: 10
24.01.2025 => Madde: 17, PDF: 11, HTM: 6
23.12.2024 => Madde: 15, PDF: 3, HTM: 12
23.11.2024 => Madde: 6, PDF: 2, HTM: 4
23.10.2024 => Madde: 6, PDF: 1, HTM: 5
23.09.2024 => Madde: 5, PDF: 0, HTM: 5
23.08.2024 => Madde: 8, PDF: 3, HTM: 5
23.07.2024 => Madde: 2, PDF: 0, HTM: 2
23.06.2024 => Madde: 1, PDF: 0, HTM: 1
23.05.2024 => Madde: 3, PDF: 0, HTM: 3
23.04.2024 => Madde: 0, PDF: 0, HTM: 0
23.03.2024 => Madde: 5, PDF: 1, HTM: 4
23.02.2025 => Madde: 6, PDF: 1, HTM: 5
23.01.2025 => Madde: 2, PDF: 0, HTM: 2
22.12.2024 => Madde: 28, PDF: 21, HTM: 7
22.11.2024 => Madde: 11, PDF: 8, HTM: 3
22.10.2024 => Madde: 9, PDF: 6, HTM: 3
22.09.2024 => Madde: 5, PDF: 0, HTM: 5
22.08.2024 => Madde: 4, PDF: 0, HTM: 4
22.07.2024 => Madde: 1, PDF: 0, HTM: 1
22.06.2024 => Madde: 2, PDF: 1, HTM: 1
22.05.2024 => Madde: 8, PDF: 2, HTM: 6
22.04.2024 => Madde: 4, PDF: 1, HTM: 3
22.03.2024 => Madde: 7, PDF: 5, HTM: 2
22.02.2025 => Madde: 5, PDF: 2, HTM: 3
22.01.2025 => Madde: 6, PDF: 3, HTM: 3
21.12.2024 => Madde: 8, PDF: 1, HTM: 7
21.11.2024 => Madde: 10, PDF: 8, HTM: 2
21.10.2024 => Madde: 5, PDF: 0, HTM: 5
21.09.2024 => Madde: 8, PDF: 4, HTM: 4
21.08.2024 => Madde: 4, PDF: 0, HTM: 4
21.07.2024 => Madde: 5, PDF: 4, HTM: 1
21.06.2024 => Madde: 1, PDF: 0, HTM: 1
21.05.2024 => Madde: 25, PDF: 17, HTM: 8
21.04.2024 => Madde: 7, PDF: 2, HTM: 5
21.03.2024 => Madde: 6, PDF: 2, HTM: 4
21.02.2025 => Madde: 13, PDF: 8, HTM: 5
21.01.2025 => Madde: 27, PDF: 20, HTM: 7
20.12.2024 => Madde: 10, PDF: 3, HTM: 7
20.11.2024 => Madde: 2, PDF: 0, HTM: 2
20.10.2024 => Madde: 4, PDF: 1, HTM: 3
20.09.2024 => Madde: 8, PDF: 4, HTM: 4
20.08.2024 => Madde: 3, PDF: 1, HTM: 2
20.07.2024 => Madde: 10, PDF: 4, HTM: 6
20.06.2024 => Madde: 1, PDF: 0, HTM: 1
20.05.2024 => Madde: 33, PDF: 23, HTM: 10
20.04.2024 => Madde: 35, PDF: 28, HTM: 7
20.03.2024 => Madde: 5, PDF: 1, HTM: 4
20.02.2025 => Madde: 6, PDF: 3, HTM: 3
20.01.2025 => Madde: 5, PDF: 2, HTM: 3
19.12.2024 => Madde: 10, PDF: 3, HTM: 7
19.11.2024 => Madde: 2, PDF: 1, HTM: 1
19.10.2024 => Madde: 11, PDF: 6, HTM: 5
19.09.2024 => Madde: 7, PDF: 4, HTM: 3
19.08.2024 => Madde: 4, PDF: 0, HTM: 4
19.07.2024 => Madde: 2, PDF: 0, HTM: 2
19.06.2024 => Madde: 0, PDF: 0, HTM: 0
19.05.2024 => Madde: 0, PDF: 0, HTM: 0
19.04.2024 => Madde: 9, PDF: 8, HTM: 1
19.03.2024 => Madde: 9, PDF: 5, HTM: 4
19.02.2025 => Madde: 4, PDF: 2, HTM: 2
19.01.2025 => Madde: 7, PDF: 5, HTM: 2
18.12.2024 => Madde: 7, PDF: 2, HTM: 5
18.11.2024 => Madde: 1, PDF: 0, HTM: 1
18.10.2024 => Madde: 9, PDF: 3, HTM: 6
18.09.2024 => Madde: 9, PDF: 4, HTM: 5
18.08.2024 => Madde: 2, PDF: 0, HTM: 2
18.07.2024 => Madde: 10, PDF: 8, HTM: 2
18.06.2024 => Madde: 0, PDF: 0, HTM: 0
18.05.2024 => Madde: 15, PDF: 1, HTM: 14
18.04.2024 => Madde: 5, PDF: 4, HTM: 1
18.03.2024 => Madde: 4, PDF: 0, HTM: 4
18.02.2025 => Madde: 8, PDF: 1, HTM: 7
18.01.2025 => Madde: 3, PDF: 1, HTM: 2
17.12.2024 => Madde: 51, PDF: 40, HTM: 11
17.11.2024 => Madde: 6, PDF: 5, HTM: 1
17.10.2024 => Madde: 5, PDF: 0, HTM: 5
17.09.2024 => Madde: 6, PDF: 2, HTM: 4
17.08.2024 => Madde: 12, PDF: 4, HTM: 8
17.07.2024 => Madde: 14, PDF: 10, HTM: 4
17.06.2024 => Madde: 0, PDF: 0, HTM: 0
17.05.2024 => Madde: 6, PDF: 4, HTM: 2
17.04.2024 => Madde: 5, PDF: 4, HTM: 1
17.03.2024 => Madde: 6, PDF: 5, HTM: 1
17.02.2025 => Madde: 12, PDF: 0, HTM: 12
17.01.2025 => Madde: 19, PDF: 15, HTM: 4
16.12.2024 => Madde: 2, PDF: 0, HTM: 2
16.11.2024 => Madde: 6, PDF: 3, HTM: 3
16.10.2024 => Madde: 4, PDF: 1, HTM: 3
16.09.2024 => Madde: 14, PDF: 9, HTM: 5
16.08.2024 => Madde: 13, PDF: 8, HTM: 5
16.07.2024 => Madde: 2, PDF: 0, HTM: 2
16.06.2024 => Madde: 0, PDF: 0, HTM: 0
16.05.2024 => Madde: 11, PDF: 5, HTM: 6
16.04.2024 => Madde: 3, PDF: 1, HTM: 2
16.03.2024 => Madde: 5, PDF: 1, HTM: 4
16.02.2025 => Madde: 7, PDF: 5, HTM: 2
16.01.2025 => Madde: 6, PDF: 2, HTM: 4
15.12.2024 => Madde: 3, PDF: 0, HTM: 3
15.11.2024 => Madde: 3, PDF: 3, HTM: 0
15.10.2024 => Madde: 6, PDF: 1, HTM: 5
15.09.2024 => Madde: 10, PDF: 4, HTM: 6
15.08.2024 => Madde: 3, PDF: 0, HTM: 3
15.07.2024 => Madde: 0, PDF: 0, HTM: 0
15.06.2024 => Madde: 10, PDF: 5, HTM: 5
15.05.2024 => Madde: 17, PDF: 4, HTM: 13
15.04.2024 => Madde: 1, PDF: 0, HTM: 1
15.03.2024 => Madde: 2, PDF: 0, HTM: 2
15.02.2025 => Madde: 13, PDF: 2, HTM: 11
15.01.2025 => Madde: 8, PDF: 3, HTM: 5
14.12.2024 => Madde: 8, PDF: 2, HTM: 6
14.11.2024 => Madde: 8, PDF: 5, HTM: 3
14.10.2024 => Madde: 6, PDF: 0, HTM: 6
14.09.2024 => Madde: 10, PDF: 6, HTM: 4
14.08.2024 => Madde: 4, PDF: 1, HTM: 3
14.07.2024 => Madde: 5, PDF: 1, HTM: 4
14.06.2024 => Madde: 9, PDF: 7, HTM: 2
14.05.2024 => Madde: 9, PDF: 0, HTM: 9
14.04.2024 => Madde: 2, PDF: 0, HTM: 2
14.03.2024 => Madde: 10, PDF: 3, HTM: 7
14.02.2025 => Madde: 10, PDF: 7, HTM: 3
14.01.2025 => Madde: 4, PDF: 1, HTM: 3
13.12.2024 => Madde: 8, PDF: 0, HTM: 8
13.11.2024 => Madde: 4, PDF: 1, HTM: 3
13.10.2024 => Madde: 6, PDF: 0, HTM: 6
13.09.2024 => Madde: 6, PDF: 0, HTM: 6
13.08.2024 => Madde: 4, PDF: 1, HTM: 3
13.07.2024 => Madde: 1, PDF: 0, HTM: 1
13.06.2024 => Madde: 13, PDF: 9, HTM: 4
13.05.2024 => Madde: 3, PDF: 0, HTM: 3
13.04.2024 => Madde: 1, PDF: 0, HTM: 1
13.03.2024 => Madde: 2, PDF: 1, HTM: 1
13.02.2025 => Madde: 2, PDF: 0, HTM: 2
13.01.2025 => Madde: 9, PDF: 0, HTM: 9
12.12.2024 => Madde: 19, PDF: 16, HTM: 3
12.11.2024 => Madde: 7, PDF: 5, HTM: 2
12.10.2024 => Madde: 6, PDF: 2, HTM: 4
12.09.2024 => Madde: 4, PDF: 2, HTM: 2
12.08.2024 => Madde: 7, PDF: 0, HTM: 7
12.07.2024 => Madde: 3, PDF: 2, HTM: 1
12.06.2024 => Madde: 9, PDF: 6, HTM: 3
12.05.2024 => Madde: 2, PDF: 0, HTM: 2
12.04.2024 => Madde: 0, PDF: 0, HTM: 0
12.03.2024 => Madde: 24, PDF: 21, HTM: 3
12.02.2025 => Madde: 6, PDF: 1, HTM: 5
12.01.2025 => Madde: 11, PDF: 0, HTM: 11
11.12.2024 => Madde: 17, PDF: 15, HTM: 2
11.11.2024 => Madde: 8, PDF: 3, HTM: 5
11.10.2024 => Madde: 5, PDF: 0, HTM: 5
11.09.2024 => Madde: 5, PDF: 2, HTM: 3
11.08.2024 => Madde: 7, PDF: 0, HTM: 7
11.07.2024 => Madde: 2, PDF: 0, HTM: 2
11.06.2024 => Madde: 7, PDF: 4, HTM: 3
11.05.2024 => Madde: 18, PDF: 13, HTM: 5
11.04.2024 => Madde: 0, PDF: 0, HTM: 0
11.03.2024 => Madde: 6, PDF: 0, HTM: 6
11.02.2025 => Madde: 3, PDF: 0, HTM: 3
11.01.2025 => Madde: 11, PDF: 8, HTM: 3
10.12.2024 => Madde: 18, PDF: 8, HTM: 10
10.11.2024 => Madde: 4, PDF: 1, HTM: 3
10.10.2024 => Madde: 23, PDF: 12, HTM: 11
10.09.2024 => Madde: 5, PDF: 2, HTM: 3
10.08.2024 => Madde: 28, PDF: 25, HTM: 3
10.07.2024 => Madde: 13, PDF: 10, HTM: 3
10.06.2024 => Madde: 2, PDF: 0, HTM: 2
10.05.2024 => Madde: 2, PDF: 1, HTM: 1
10.04.2024 => Madde: 0, PDF: 0, HTM: 0
10.03.2025 => Madde: 9, PDF: 5, HTM: 4
10.03.2024 => Madde: 6, PDF: 3, HTM: 3
10.02.2025 => Madde: 13, PDF: 8, HTM: 5
10.01.2025 => Madde: 20, PDF: 18, HTM: 2
09.12.2024 => Madde: 11, PDF: 2, HTM: 9
09.11.2024 => Madde: 3, PDF: 1, HTM: 2
09.10.2024 => Madde: 5, PDF: 1, HTM: 4
09.09.2024 => Madde: 11, PDF: 0, HTM: 11
09.08.2024 => Madde: 7, PDF: 4, HTM: 3
09.07.2024 => Madde: 15, PDF: 11, HTM: 4
09.06.2024 => Madde: 2, PDF: 0, HTM: 2
09.05.2024 => Madde: 7, PDF: 1, HTM: 6
09.04.2024 => Madde: 2, PDF: 0, HTM: 2
09.03.2025 => Madde: 5, PDF: 0, HTM: 5
09.02.2025 => Madde: 6, PDF: 0, HTM: 6
09.01.2025 => Madde: 20, PDF: 13, HTM: 7
08.12.2024 => Madde: 8, PDF: 0, HTM: 8
08.11.2024 => Madde: 6, PDF: 5, HTM: 1
08.10.2024 => Madde: 5, PDF: 3, HTM: 2
08.09.2024 => Madde: 3, PDF: 0, HTM: 3
08.08.2024 => Madde: 7, PDF: 0, HTM: 7
08.07.2024 => Madde: 10, PDF: 5, HTM: 5
08.06.2024 => Madde: 5, PDF: 3, HTM: 2
08.05.2024 => Madde: 5, PDF: 0, HTM: 5
08.04.2024 => Madde: 2, PDF: 0, HTM: 2
08.03.2025 => Madde: 8, PDF: 5, HTM: 3
08.02.2025 => Madde: 7, PDF: 2, HTM: 5
08.01.2025 => Madde: 7, PDF: 3, HTM: 4
07.12.2024 => Madde: 12, PDF: 6, HTM: 6
07.11.2024 => Madde: 9, PDF: 5, HTM: 4
07.10.2024 => Madde: 6, PDF: 2, HTM: 4
07.09.2024 => Madde: 22, PDF: 19, HTM: 3
07.08.2024 => Madde: 4, PDF: 0, HTM: 4
07.07.2024 => Madde: 3, PDF: 0, HTM: 3
07.06.2024 => Madde: 10, PDF: 7, HTM: 3
07.05.2024 => Madde: 5, PDF: 2, HTM: 3
07.04.2024 => Madde: 12, PDF: 10, HTM: 2
07.03.2025 => Madde: 29, PDF: 26, HTM: 3
07.02.2025 => Madde: 3, PDF: 0, HTM: 3
07.01.2025 => Madde: 6, PDF: 2, HTM: 4
06.12.2024 => Madde: 12, PDF: 7, HTM: 5
06.11.2024 => Madde: 3, PDF: 0, HTM: 3
06.10.2024 => Madde: 4, PDF: 1, HTM: 3
06.09.2024 => Madde: 3, PDF: 0, HTM: 3
06.08.2024 => Madde: 15, PDF: 8, HTM: 7
06.07.2024 => Madde: 4, PDF: 2, HTM: 2
06.06.2024 => Madde: 21, PDF: 10, HTM: 11
06.05.2024 => Madde: 1, PDF: 0, HTM: 1
06.04.2024 => Madde: 25, PDF: 11, HTM: 14
06.03.2025 => Madde: 14, PDF: 10, HTM: 4
06.02.2025 => Madde: 8, PDF: 4, HTM: 4
06.01.2025 => Madde: 4, PDF: 0, HTM: 4
05.12.2024 => Madde: 3, PDF: 0, HTM: 3
05.11.2024 => Madde: 6, PDF: 4, HTM: 2
05.10.2024 => Madde: 6, PDF: 2, HTM: 4
05.09.2024 => Madde: 4, PDF: 1, HTM: 3
05.08.2024 => Madde: 12, PDF: 0, HTM: 12
05.07.2024 => Madde: 5, PDF: 3, HTM: 2
05.06.2024 => Madde: 8, PDF: 5, HTM: 3
05.05.2024 => Madde: 7, PDF: 4, HTM: 3
05.04.2024 => Madde: 22, PDF: 14, HTM: 8
05.03.2025 => Madde: 18, PDF: 9, HTM: 9
05.02.2025 => Madde: 17, PDF: 16, HTM: 1
05.01.2025 => Madde: 7, PDF: 0, HTM: 7
04.12.2024 => Madde: 7, PDF: 1, HTM: 6
04.11.2024 => Madde: 3, PDF: 1, HTM: 2
04.10.2024 => Madde: 15, PDF: 13, HTM: 2
04.09.2024 => Madde: 3, PDF: 0, HTM: 3
04.08.2024 => Madde: 5, PDF: 0, HTM: 5
04.07.2024 => Madde: 7, PDF: 5, HTM: 2
04.06.2024 => Madde: 3, PDF: 2, HTM: 1
04.05.2024 => Madde: 6, PDF: 3, HTM: 3
04.04.2024 => Madde: 4, PDF: 2, HTM: 2
04.03.2025 => Madde: 7, PDF: 5, HTM: 2
04.02.2025 => Madde: 8, PDF: 4, HTM: 4
04.01.2025 => Madde: 5, PDF: 0, HTM: 5
03.12.2024 => Madde: 26, PDF: 17, HTM: 9
03.11.2024 => Madde: 2, PDF: 2, HTM: 0
03.10.2024 => Madde: 9, PDF: 6, HTM: 3
03.09.2024 => Madde: 9, PDF: 0, HTM: 9
03.08.2024 => Madde: 2, PDF: 1, HTM: 1
03.07.2024 => Madde: 7, PDF: 3, HTM: 4
03.06.2024 => Madde: 5, PDF: 0, HTM: 5
03.05.2024 => Madde: 3, PDF: 2, HTM: 1
03.04.2024 => Madde: 8, PDF: 6, HTM: 2
03.03.2025 => Madde: 4, PDF: 0, HTM: 4
03.02.2025 => Madde: 3, PDF: 0, HTM: 3
03.01.2025 => Madde: 4, PDF: 1, HTM: 3
02.12.2024 => Madde: 20, PDF: 10, HTM: 10
02.11.2024 => Madde: 20, PDF: 18, HTM: 2
02.10.2024 => Madde: 7, PDF: 4, HTM: 3
02.09.2024 => Madde: 7, PDF: 1, HTM: 6
02.08.2024 => Madde: 25, PDF: 16, HTM: 9
02.07.2024 => Madde: 15, PDF: 11, HTM: 4
02.06.2024 => Madde: 2, PDF: 0, HTM: 2
02.05.2024 => Madde: 3, PDF: 1, HTM: 2
02.04.2024 => Madde: 6, PDF: 3, HTM: 3
02.03.2025 => Madde: 3, PDF: 0, HTM: 3
02.02.2025 => Madde: 2, PDF: 0, HTM: 2
02.01.2025 => Madde: 5, PDF: 1, HTM: 4
01.12.2024 => Madde: 10, PDF: 0, HTM: 10
01.11.2024 => Madde: 4, PDF: 1, HTM: 3
01.10.2024 => Madde: 4, PDF: 0, HTM: 4
01.09.2024 => Madde: 2, PDF: 0, HTM: 2
01.08.2024 => Madde: 18, PDF: 6, HTM: 12
01.07.2024 => Madde: 6, PDF: 0, HTM: 6
01.06.2024 => Madde: 18, PDF: 17, HTM: 1
01.05.2024 => Madde: 4, PDF: 3, HTM: 1
01.04.2024 => Madde: 4, PDF: 1, HTM: 3
01.03.2025 => Madde: 6, PDF: 2, HTM: 4
01.02.2025 => Madde: 25, PDF: 22, HTM: 3
01.01.2025 => Madde: 0, PDF: 0, HTM: 0


=== GENİŞ ANALİZ ===
Toplam Madde: 3007
Toplam PDF: 1476
Toplam HTM: 1531

Farklı Ana Başlık Sayısı: 4
Farklı Alt Başlık Sayısı: 46

En Sık Geçen 5 Ana Başlık:
  - YÜRÜTME VE İDARE BÖLÜMÜ: 353 günde yer almış.
  - İLÂN BÖLÜMÜ: 353 günde yer almış.
  - YARGI BÖLÜMÜ: 130 günde yer almış.
  - YASAMA BÖLÜMÜ: 43 günde yer almış.

En Sık Geçen 10 Alt Başlık:
  - YÖNETMELİKLER: 263 günde yer almış.
  - TEBLİĞLER: 122 günde yer almış.
  - TEBLİĞ: 79 günde yer almış.
  - ANAYASA MAHKEMESİ KARARLARI: 73 günde yer almış.
  - YÖNETMELİK: 68 günde yer almış.
  - CUMHURBAŞKANI KARARLARI: 59 günde yer almış.
  - ATAMA KARARLARI: 40 günde yer almış.
  - KURUL KARARLARI: 38 günde yer almış.
  - KURUL KARARI: 30 günde yer almış.
  - CUMHURBAŞKANI KARARI: 20 günde yer almış.

=== BÜTÜN ANA BAŞLIKLAR (frekans) ===
  - YÜRÜTME VE İDARE BÖLÜMÜ: 353
  - İLÂN BÖLÜMÜ: 353
  - YARGI BÖLÜMÜ: 130
  - YASAMA BÖLÜMÜ: 43

=== BÜTÜN ALT BAŞLIKLAR (frekans) ===
  - YÖNETMELİKLER: 263
  - TEBLİĞLER: 122
  - TEBLİĞ: 79
  - ANAYASA MAHKEMESİ KARARLARI: 73
  - YÖNETMELİK: 68
  - CUMHURBAŞKANI KARARLARI: 59
  - ATAMA KARARLARI: 40
  - KURUL KARARLARI: 38
  - KURUL KARARI: 30
  - CUMHURBAŞKANI KARARI: 20
  - YARGITAY KARARI: 18
  - KANUN: 17
  - ANAYASA MAHKEMESİ KARARI: 17
  - MİLLETLERARASI ANDLAŞMALAR: 16
  - DANIŞTAY KARARI: 15
  - GENELGE: 15
  - MİLLETLERARASI ANDLAŞMA: 14
  - TBMM KARARI: 14
  - KARAR: 13
  - YARGITAY KARARLARI: 13
  - CUMHURBAŞKANLIĞINA VEKÂLET ETME İŞLEMİ: 13
  - CUMHURBAŞKANLIĞI KARARNAMESİ: 12
  - ATAMA KARARI: 9
  - HÂKİMLER VE SAVCILAR KURULU KARARLARI: 8
  - TBMM KARARLARI: 8
  - KANUNLAR: 6
  - HÂKİMLER VE SAVCILAR KURULU KARARI: 5
  - DANIŞTAY KARARLARI: 5
  - YÜKSEK SEÇİM KURULU KARARI: 3
  - CUMHURBAŞKANLIĞI KARARNAMELERİ: 3
  - KARARLAR: 3
  - ANAYASA MAHKEMESİ ÜYELİĞİNE SEÇME KARARI: 2
  - YÜKSEK SEÇİM KURULU KARARLARI: 2
  - ANAYASA MAHKEMESİ BAŞKANLIĞINA SEÇME KARARI: 1
  - İLKE KARARLARI: 1
  - YARGITAY CUMHURİYET BAŞSAVCIVEKİLLİĞİNE SEÇME KARARI: 1
  - ANAYASA MAHKEMESİ BAŞKANVEKİLLİĞİNE SEÇME KARARI: 1
  - YARGITAY CUMHURİYET BAŞSAVCILIĞINA SEÇME KARARI: 1
  - MİLLETLERARASI SÖZLEŞME: 1
  - ANA STATÜ: 1
  - ATAMA KARARLARI: 1
  - YARGITAY ÜYELİKLERİNE SEÇME KARARI: 1
  - DANIŞTAY ÜYELİKLERİNE SEÇME KARARI: 1
  - DANIŞTAY ÜYELİĞİNE SEÇME KARARI: 1
  - UYUŞMAZLIK MAHKEMESİ KARARLARI: 1
  - ANA STATÜLER: 1

NOT: Burada 'frekans' başlıkların kaç farklı günde geçtiğini ifade eder.
